Club Name,Email
"A Cappella Council","uchicagoacappella@gmail.com"
"Active Minds at the University of Chicago","activemindsuchi@gmail.com"
"African and Caribbean Students Association","zuricofer@uchicago.edu"
"AI @ UChicago","arjunsohur@uchicago.edu"
"Aikido Kokikai","ethanli@uchicago.edu"
"Alexander Hamilton Society","alexander-hamilton-society@lists.uchicago.edu"
"Algo Group","robertliu@uchicago.edu"
"Alianza de Latinx Medical Advocacy","uchicagoalma@gmail.com"
"Allied Scholars for Animal Protection UChicago","jessalinnguyen@uchicago.edu"
"Alpha Kappa Psi (Beta Epsilon)","akpsibetaepsilon@gmail.com"
"Alpha Phi Omega","uchi.apo.president@gmail.com"
"American Constitution Society","acs@law.uchicago.edu"
"American Lung Cancer Screening Initiative","rico1604@uchicago.edu"
"American Medical Student Association","samlee3@uchicago.edu"
"American Red Cross of University of Chicago","npusateri@uchicago.edu"
"Animal Legal Defense Fund - The University of Chicago Law School","uchicagosaldf@gmail.com"
"Ankara Magic","ankaramagicuchicago@gmail.com"
"Apsara","uchicagoapsara@gmail.com"
"Arab Student Association","ramyek1@uchicago.edu"
"Archery","Archery@lists.uchicago.edu"
"Argentine Tango Club","tango@uchicago.edu"
"Armenian Students Association","hharoutu@uchicago.edu"
"Army Reserve Officer Training Corps","armyrotc@lists.uchicago.edu"
"ArtShould","theartshouldteam@gmail.com"
"Asian American InterVarsity","UChicagoAAIV@gmail.com"
"Asian Pacific American Medical Students Association","apamsa@lists.uchicago.edu"
"Asian Policy Forum","apf.uchicago@gmail.com"
"Association for Women in Mathematics","awm@math.uchicago.edu"
"Badminton","2d4iaq5ivtg4ucube7il7j1aq4@group.calendar.google.com"
"Baha'i Association of the University of Chicago","crabbani@uchicago.edu"
"Ballroom and Latin Dance Association","uc.blda@gmail.com"
"Bite Culinary Magazine","uchicagobite@gmail.com"
"Black Action in Public Policy Studies","bapps.harris@gmail.com"
"Black Law Students Association","blsa@law.uchicago.edu"
"Black Men in White Coats at The University of Chicago","boateng@uchicago.edu"
"Black Student Fellowship","uofc.bsf@gmail.com"
"BlackGen Capital","blackgenuchicago@gmail.com"
"Blacklight Magazine","blacklightuchicago@gmail.com"
"Blockchain Chicago","renzo@uchicago.edu"
"Blue Chips","chicagobluechips@gmail.com"
"Boxing Club","boxing_club@lists.uchicago.edu"
"Brazilian Student Association","arthurcosta@uchicago.edu"
"Bridge Club","uchicagobridge@googlegroups.com"
"Bridge to College","mlcowherd@uchicago.edu"
"Bridgeport Free Clinic","bridgeportfreeclinic@gmail.com"
"Business Organization for Latino Development","uchicagobold@gmail.com"
"Cadenza","uchicagocadenza@gmail.com"
"Campus Catalyst","carolinezhao@uchicago.edu"
"Cana","uchicagocana@gmail.com"
"Catcher in the Rhyme","uchicagocitr@gmail.com"
"Catholic Students Association","amorles@uchicago.edu"
"Catholic Students Association for Graduate and Professional Students","snlandon@uchicago.edu"
"Center for Leadership and Involvement","cli-help@lists.uchicago.edu"
"Central Asian Studies Society","cass.uofc@gmail.com"
"Chabad","chabad@uchicago.edu"
"Charles River Economics Labs","popov@uchicago.edu"
"Cheerleading","uchicheer@gmail.com"
"Chemistry Society (Benzene)","benzene@lists.uchicago.edu"
"Chess Club","ktsuei@uchicago.edu"
"Chicago Debate Society","alperri@uchicago.edu"
"Chicago Economics Forum","chicagoeconomicsforum@gmail.com"
"Chicago Italian Appreciation Organization","rosenmayr@uchicago.edu"
"Chicago Journal of Foreign Policy","ChicagoJournalFP@gmail.com"
"Chicago Journal of Sociology","cjsuchicago@gmail.com"
"Chicago Justice Initiative","uchicagoagainstdisplacement@googlegroups.com"
"Chicago Linguistic Society","2025cls61@gmail.com"
"Chicago Raas Team","captains@chicagoraas.com"
"Chicago Shady Dealer","chicagoshadydealer@gmail.com"
"Chicago Street Medicine","csmundergrad-request@lists.uchicago.edu"
"Chicago Studies","chicagostudies@uchicago.edu"
"Chicago Swing Dance Society","eriksolhaug@uchicago.edu"
"China and Beyond","dipeshsingla@uchicago.edu"
"Chinese Student Christian Fellowship","cscfuchicago@gmail.com"
"Chinese Students and Scholars Association","uccssa@163.com"
"Chinese Undergraduate Students Association","cusa@lists.uchicago.edu"
"Christians on Campus","chrpark@uchicago.edu"
"CityStep UChicago","citystepuchicago@gmail.com"
"Classical Lecture Society","sophiaalkhoury@uchicago.edu"
"College Bowl Team","cbowl@lists.uchicago.edu"
"College Council","mfanderson@uchicago.edu"
"College Fed Challenge Team","smdalton@uchicago.edu"
"College Republicans","chrisp2003@uchicago.edu"
"Colombians at UChicago","cortegal@uchicago.edu"
"Comer Tutors","tutorscomer@gmail.com"
"Commedia dell'Arte","attorisenzapaura@gmail.com"
"Community Health Initiative","tbrunner@uchicago.edu"
"Council On University Programming","pijuvara@uchicago.edu"
"Crew","president@uchicagocrew.com"
"Cricket Club","aarkinmenocha@uchicago.edu"
"Crime & Justice Policy Association","uccjpa@gmail.com"
"Critical Understanding of Liturgies and Traditions","cult@lists.uchicago.edu"
"CS Student Activities Council","uchicagocssac@gmail.com"
"Cup of Theater","cot_officers@lists.uchicago.edu"
"Dance Council","uchicago.dance.council@gmail.com"
"Dear Asian Youth","uchicago.dearasianyouth@gmail.com"
"Defenders","defenders@law.uchicago.edu"
"Delta Sigma Pi Professional Business Fraternity- Alpha Psi Chapter","hjamison@uchicago.edu"
"Derivatives Group","derivativesgroupboard@gmail.com"
"Derivatives of Data Science","uchicago-dds@lists.uchicago.edu"
"Dirt Red Brass Band","dirtredbrass@gmail.com"
"Documentary Films","doc@docfilms.org"
